program_id,K,vars,spills,spill_cost_sum
p20_mul_chain.c,3,5,0,0
p20_mul_chain.c,4,5,0,0
p20_mul_chain.c,5,5,0,0
p21_div_mix.c,1,5,2,4
p21_div_mix.c,2,5,0,0
p21_div_mix.c,3,5,0,0
p21_div_mix.c,4,5,0,0
p21_div_mix.c,5,5,0,0
p22_overlap.c,1,7,4,14
p22_overlap.c,2,7,1,2
p22_overlap.c,3,7,0,0
p22_overlap.c,4,7,0,0
p22_overlap.c,5,7,0,0
p23_deep_pressure.c,1,10,7,83
p23_deep_pressure.c,2,10,6,59
p23_deep_pressure.c,3,10,5,38
p23_deep_pressure.c,4,10,4,26
p23_deep_pressure.c,5,10,3,16
p24_two_stage_sum.c,1,7,4,15
p24_two_stage_sum.c,2,7,2,9
p24_two_stage_sum.c,3,7,1,3
p24_two_stage_sum.c,4,7,0,0
p24_two_stage_sum.c,5,7,0,0
p25_heavy_return.c,1,8,6,52
p25_heavy_return.c,2,8,5,38
p25_heavy_return.c,3,8,4,26
p25_heavy_return.c,4,8,3,16
p25_heavy_return.c,5,8,2,8
