program_id,var,degree,use_count,use_instr_count,live_range,spill_cost,K,label
cfg08_loop_two_vars.txt,i,3,2,2,10,22,2,1
cfg08_loop_two_vars.txt,j,2,2,2,9,20,2,0
cfg08_loop_two_vars.txt,acc,2,2,2,10,22,3,1
cfg08_loop_two_vars.txt,i,3,2,2,10,22,3,1
cfg08_loop_two_vars.txt,j,2,2,2,9,20,3,1
cfg08_loop_two_vars.txt,acc,2,2,2,10,22,4,1
cfg08_loop_two_vars.txt,i,3,2,2,10,22,4,1
cfg08_loop_two_vars.txt,j,2,2,2,9,20,4,1
cfg08_loop_two_vars.txt,acc,2,2,2,10,22,5,1
cfg08_loop_two_vars.txt,i,3,2,2,10,22,5,1
cfg08_loop_two_vars.txt,j,2,2,2,9,20,5,1
cfg09_branch_then_loop.txt,acc,2,2,2,9,20,1,0
cfg09_branch_then_loop.txt,i,2,2,2,13,28,1,0
cfg09_branch_then_loop.txt,t0,4,2,2,16,34,1,1
cfg09_branch_then_loop.txt,acc,2,2,2,9,20,2,0
cfg09_branch_then_loop.txt,i,2,2,2,13,28,2,1
cfg09_branch_then_loop.txt,t0,4,2,2,16,34,2,1
cfg09_branch_then_loop.txt,acc,2,2,2,9,20,3,1
cfg09_branch_then_loop.txt,i,2,2,2,13,28,3,1
cfg09_branch_then_loop.txt,t0,4,2,2,16,34,3,1
cfg09_branch_then_loop.txt,acc,2,2,2,9,20,4,1
cfg09_branch_then_loop.txt,i,2,2,2,13,28,4,1
cfg09_branch_then_loop.txt,t0,4,2,2,16,34,4,1
cfg09_branch_then_loop.txt,acc,2,2,2,9,20,5,1
cfg09_branch_then_loop.txt,i,2,2,2,13,28,5,1
cfg09_branch_then_loop.txt,t0,4,2,2,16,34,5,1
cfg10_merge_with_tail.txt,m,1,1,1,6,7,1,0
cfg10_merge_with_tail.txt,t,0,1,1,1,2,1,1
cfg10_merge_with_tail.txt,u,0,1,1,1,2,1,1
cfg10_merge_with_tail.txt,x0,3,3,3,10,33,1,1
cfg10_merge_with_tail.txt,x1,1,2,2,6,14,1,0
cfg10_merge_with_tail.txt,m,1,1,1,6,7,2,1
cfg10_merge_with_tail.txt,t,0,1,1,1,2,2,1
cfg10_merge_with_tail.txt,u,0,1,1,1,2,2,1
cfg10_merge_with_tail.txt,x0,3,3,3,10,33,2,1
cfg10_merge_with_tail.txt,x1,1,2,2,6,14,2,1
cfg10_merge_with_tail.txt,m,1,1,1,6,7,3,1
cfg10_merge_with_tail.txt,t,0,1,1,1,2,3,1
cfg10_merge_with_tail.txt,u,0,1,1,1,2,3,1
cfg10_merge_with_tail.txt,x0,3,3,3,10,33,3,1
cfg10_merge_with_tail.txt,x1,1,2,2,6,14,3,1
cfg10_merge_with_tail.txt,m,1,1,1,6,7,4,1
cfg10_merge_with_tail.txt,t,0,1,1,1,2,4,1
cfg10_merge_with_tail.txt,u,0,1,1,1,2,4,1
cfg10_merge_with_tail.txt,x0,3,3,3,10,33,4,1
cfg10_merge_with_tail.txt,x1,1,2,2,6,14,4,1
cfg10_merge_with_tail.txt,m,1,1,1,6,7,5,1
cfg10_merge_with_tail.txt,t,0,1,1,1,2,5,1
cfg10_merge_with_tail.txt,u,0,1,1,1,2,5,1
cfg10_merge_with_tail.txt,x0,3,3,3,10,33,5,1
cfg10_merge_with_tail.txt,x1,1,2,2,6,14,5,1
cfg11_pressure_merge_mid.txt,s0,2,1,1,1,2,1,1
cfg11_pressure_merge_mid.txt,s1,1,1,1,1,2,1,1
cfg11_pressure_merge_mid.txt,s2,0,1,1,1,2,1,1
cfg11_pressure_merge_mid.txt,t0,3,2,2,5,12,1,0
cfg11_pressure_merge_mid.txt,t1,3,1,1,7,8,1,0
cfg11_pressure_merge_mid.txt,v0,6,4,4,13,56,1,1
cfg11_pressure_merge_mid.txt,v1,6,3,3,13,42,1,0
cfg11_pressure_merge_mid.txt,v2,6,3,3,13,42,1,0
cfg11_pressure_merge_mid.txt,s0,2,1,1,1,2,2,1
cfg11_pressure_merge_mid.txt,s1,1,1,1,1,2,2,1
cfg11_pressure_merge_mid.txt,s2,0,1,1,1,2,2,1
cfg11_pressure_merge_mid.txt,t0,3,2,2,5,12,2,0
cfg11_pressure_merge_mid.txt,t1,3,1,1,7,8,2,0
cfg11_pressure_merge_mid.txt,v0,6,4,4,13,56,2,1
cfg11_pressure_merge_mid.txt,v1,6,3,3,13,42,2,1
cfg11_pressure_merge_mid.txt,v2,6,3,3,13,42,2,0
cfg11_pressure_merge_mid.txt,s0,2,1,1,1,2,3,1
cfg11_pressure_merge_mid.txt,s1,1,1,1,1,2,3,1
cfg11_pressure_merge_mid.txt,s2,0,1,1,1,2,3,1
cfg11_pressure_merge_mid.txt,t0,3,2,2,5,12,3,0
cfg11_pressure_merge_mid.txt,t1,3,1,1,7,8,3,0
cfg11_pressure_merge_mid.txt,v0,6,4,4,13,56,3,1
cfg11_pressure_merge_mid.txt,v1,6,3,3,13,42,3,1
cfg11_pressure_merge_mid.txt,v2,6,3,3,13,42,3,1
cfg11_pressure_merge_mid.txt,s0,2,1,1,1,2,4,1
cfg11_pressure_merge_mid.txt,s1,1,1,1,1,2,4,1
cfg11_pressure_merge_mid.txt,s2,0,1,1,1,2,4,1
cfg11_pressure_merge_mid.txt,t0,3,2,2,5,12,4,1
cfg11_pressure_merge_mid.txt,t1,3,1,1,7,8,4,1
cfg11_pressure_merge_mid.txt,v0,6,4,4,13,56,4,1
cfg11_pressure_merge_mid.txt,v1,6,3,3,13,42,4,1
cfg11_pressure_merge_mid.txt,v2,6,3,3,13,42,4,1
cfg11_pressure_merge_mid.txt,s0,2,1,1,1,2,5,1
cfg11_pressure_merge_mid.txt,s1,1,1,1,1,2,5,1
cfg11_pressure_merge_mid.txt,s2,0,1,1,1,2,5,1
cfg11_pressure_merge_mid.txt,t0,3,2,2,5,12,5,1
cfg11_pressure_merge_mid.txt,t1,3,1,1,7,8,5,1
cfg11_pressure_merge_mid.txt,v0,6,4,4,13,56,5,1
cfg11_pressure_merge_mid.txt,v1,6,3,3,13,42,5,1
cfg11_pressure_merge_mid.txt,v2,6,3,3,13,42,5,1
cfg12_loop_pressure_mid.txt,i,8,2,2,13,28,1,1
cfg12_loop_pressure_mid.txt,p0,7,2,2,12,26,1,0
cfg12_loop_pressure_mid.txt,p1,6,2,2,11,24,1,0
cfg12_loop_pressure_mid.txt,p2,3,2,2,12,26,1,0
cfg12_loop_pressure_mid.txt,x0,3,1,1,1,2,1,0
cfg12_loop_pressure_mid.txt,x1,3,1,1,1,2,1,0
cfg12_loop_pressure_mid.txt,x2,3,1,1,1,2,1,0
cfg12_loop_pressure_mid.txt,i,8,2,2,13,28,2,1
cfg12_loop_pressure_mid.txt,p0,7,2,2,12,26,2,1
cfg12_loop_pressure_mid.txt,p1,6,2,2,11,24,2,0
cfg12_loop_pressure_mid.txt,p2,3,2,2,12,26,2,0
cfg12_loop_pressure_mid.txt,x0,3,1,1,1,2,2,0
cfg12_loop_pressure_mid.txt,x1,3,1,1,1,2,2,0
cfg12_loop_pressure_mid.txt,x2,3,1,1,1,2,2,0
cfg12_loop_pressure_mid.txt,i,8,2,2,13,28,3,1
cfg12_loop_pressure_mid.txt,p0,7,2,2,12,26,3,1
cfg12_loop_pressure_mid.txt,p1,6,2,2,11,24,3,1
cfg12_loop_pressure_mid.txt,p2,3,2,2,12,26,3,0
cfg12_loop_pressure_mid.txt,x0,3,1,1,1,2,3,0
cfg12_loop_pressure_mid.txt,x1,3,1,1,1,2,3,0
cfg12_loop_pressure_mid.txt,x2,3,1,1,1,2,3,0
cfg12_loop_pressure_mid.txt,i,8,2,2,13,28,4,1
cfg12_loop_pressure_mid.txt,p0,7,2,2,12,26,4,1
cfg12_loop_pressure_mid.txt,p1,6,2,2,11,24,4,1
cfg12_loop_pressure_mid.txt,p2,3,2,2,12,26,4,1
cfg12_loop_pressure_mid.txt,x0,3,1,1,1,2,4,1
cfg12_loop_pressure_mid.txt,x1,3,1,1,1,2,4,1
cfg12_loop_pressure_mid.txt,x2,3,1,1,1,2,4,1
cfg12_loop_pressure_mid.txt,i,8,2,2,13,28,5,1
cfg12_loop_pressure_mid.txt,p0,7,2,2,12,26,5,1
cfg12_loop_pressure_mid.txt,p1,6,2,2,11,24,5,1
cfg12_loop_pressure_mid.txt,p2,3,2,2,12,26,5,1
cfg12_loop_pressure_mid.txt,x0,3,1,1,1,2,5,1
cfg12_loop_pressure_mid.txt,x1,3,1,1,1,2,5,1
cfg12_loop_pressure_mid.txt,x2,3,1,1,1,2,5,1
